Sample,File,Group,Sex
1,Sample-1_001Aligned.sortedByCoord.out.bam,2D,F
2,Sample-2_001Aligned.sortedByCoord.out.bam,2D,M
3,Sample-3_001Aligned.sortedByCoord.out.bam,2D,F
4,Sample-4_001Aligned.sortedByCoord.out.bam,Mock_2D,M
5,Sample-5_001Aligned.sortedByCoord.out.bam,Mock_2D,F
6,Sample-6_001Aligned.sortedByCoord.out.bam,Mock_2D,F
7,Sample-7_001Aligned.sortedByCoord.out.bam,10D,M
8,Sample-8_001Aligned.sortedByCoord.out.bam,10D,F
9,Sample-9_001Aligned.sortedByCoord.out.bam,10D,F
10,Sample-10_001Aligned.sortedByCoord.out.bam,Mock_10D,F
11,Sample-11_001Aligned.sortedByCoord.out.bam,Mock_10D,M
12,Sample-12_001Aligned.sortedByCoord.out.bam,Mock_10D,F
